Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
Buenos Aires,Bahía Blanca,Villa Bordeau,0,0,0,0,1,1,0,0,0
Buenos Aires,Bahía Blanca,Villa Espora,0,0,0,0,0,0,0,0,0
Buenos Aires,Balcarce,Balcarce,1,1,1,1,1,1,1,1,0
Buenos Aires,Balcarce,Los Pinos,0,0,0,0,0,0,1,1,0
Buenos Aires,Balcarce,Napaleofú,0,0,0,1,1,1,1,1,0
Buenos Aires,Balcarce,Ramos Otero,0,0,0,0,1,0,0,1,0
Buenos Aires,Balcarce,San Agustín,0,0,0,0,0,0,1,1,0
Buenos Aires,Balcarce,Villa Laguna La Brava,0,0,0,0,1,1,1,1,0
Buenos Aires,Baradero,Baradero,1,1,0,1,1,1,1,1,1
Buenos Aires,Baradero,Irineo Portela,0,0,0,1,0,0,1,1,1
Buenos Aires,Baradero,Santa Coloma,0,0,0,0,1,0,0,1,0
Buenos Aires,Baradero,Villa Alsina (Est. Alsina),1,0,0,0,1,1,1,1,0
Buenos Aires,Benito Juárez,Barker,0,0,1,1,1,1,1,1,1
Chubut,Futaleufú,Lago Rosario,0,0,0,0,0,0,1,0,1
Buenos Aires,General Las Heras,General Las Heras (Est. Las Heras),1,1,1,1,1,1,1,1,0
Buenos Aires,General Las Heras,La Choza,0,0,0,0,0,0,0,0,0
Buenos Aires,General Las Heras,Lozano,0,0,0,0,0,0,0,0,1
Buenos Aires,General Las Heras,Plomer,0,0,0,0,0,0,1,0,0
Buenos Aires,General Las Heras,Villars,0,1,1,1,0,0,1,0,0
Buenos Aires,General Lavalle,Chacras de San Clemente,0,0,0,0,0,0,0,1,0
Buenos Aires,General Lavalle,General Lavalle,0,1,0,1,1,1,1,1,1
Buenos Aires,General Lavalle,Pavón,0,0,0,1,1,1,0,1,0
Buenos Aires,General Paz,Barrio Río Salado,0,0,0,0,0,0,0,0,0
Buenos Aires,General Paz,Loma Verde,0,0,0,0,1,1,1,1,0
Buenos Aires,General Paz,Ranchos,1,0,1,1,1,1,1,1,0
Buenos Aires,General Paz,Villanueva (Ap. Río Salado),0,0,0,0,0,0,1,1,0
Buenos Aires,General Pinto,Colonia San Ricardo (Est. Iriarte),1,0,0,0,1,1,1,1,0
Misiones,San Ignacio,General Urquiza,0,0,0,0,0,0,0,1,0
Buenos Aires,Magdalena,General Mansilla (Est. Bartolomé Bavio),0,1,0,1,1,0,1,0,0
Buenos Aires,Magdalena,Los Naranjos,0,0,0,1,0,0,0,0,0
Buenos Aires,Magdalena,Magdalena,1,1,1,0,1,1,1,1,0
Buenos Aires,Magdalena,Roberto J. Payró,0,0,0,0,0,0,0,1,0
Buenos Aires,Magdalena,Vieytes,0,0,0,1,0,0,1,1,0
Buenos Aires,Maipú,Las Armas,1,0,0,0,1,1,1,1,0
Buenos Aires,Maipú,Maipú,1,0,1,0,1,1,1,1,0
Buenos Aires,Maipú,Santo Domingo,0,0,0,0,1,0,1,1,1
Buenos Aires,Malvinas Argentinas,Area De Promocion El Triángulo,1,0,0,1,1,1,0,0,0
Buenos Aires,Malvinas Argentinas,Grand Bourg,1,1,0,1,1,1,1,0,0
Buenos Aires,Malvinas Argentinas,Ingeniero Adolfo Sourdeaux,1,1,0,1,1,1,1,1,0
Buenos Aires,San Fernando,San Fernando,1,1,1,1,1,1,1,1,0
Buenos Aires,San Fernando,Victoria,1,1,0,1,1,1,1,1,1
Buenos Aires,San Fernando,Virreyes,1,1,0,1,1,1,1,0,0
Buenos Aires,San Isidro,Acassuso,1,1,1,1,1,1,1,0,1
Buenos Aires,San Isidro,Beccar,1,1,0,1,1,1,1,1,0
Buenos Aires,San Isidro,Boulogne Sur Mer,1,1,0,1,1,1,1,1,0
Caba,COMUNA 04,NUEVA POMPEYA,1,1,1,1,1,1,1,1,1
Chaco,San Fernando,Fontana,0,0,0,1,1,1,0,1,0
Chaco,San Fernando,Puerto Vilelas,0,0,0,1,1,1,0,0,1
Chaco,San Fernando,Resistencia,1,1,1,1,1,1,1,1,1
Chaco,San Lorenzo,Samuhú,0,0,0,0,1,0,0,0,1
Buenos Aires,Tandil,Desvío Aguirre,0,0,0,1,1,1,0,1,0
Buenos Aires,Tandil,Gardey,0,0,0,1,1,1,1,1,0
Buenos Aires,Tandil,María Ignacia (Est. Vela),1,0,0,0,1,0,1,1,0
Buenos Aires,Tandil,Tandil,1,1,1,1,1,1,1,1,1
Buenos Aires,Tapalqué,Crotto,0,0,0,0,0,0,0,0,0
Buenos Aires,Tapalqué,Tapalqué,0,0,0,0,1,1,1,0,1
Buenos Aires,Tapalqué,Velloso,0,0,0,0,0,0,0,0,0
Buenos Aires,Tigre,Benavídez,1,1,0,1,1,1,1,1,1
Buenos Aires,Tigre,Dique Luján,1,1,0,1,1,1,1,1,0
